iter	RMSE
0	20709.78682
1	18942.94222
2	17348.66727
3	15909.98165
4	14622.85172
5	13469.13486
6	12445.42962
7	11516.51708
8	10685.07429
9	9952.042277
10	9318.730566
11	8747.181054
12	8240.118606
13	7811.630141
14	7432.493513
15	7098.334127
16	6806.279516
17	6557.920156
18	6341.591421
19	6148.552068
20	5981.292225
21	5845.668924
22	5724.222595
23	5611.542257
24	5524.15835
25	5444.36455
26	5369.527924
27	5315.183636
28	5259.218521
29	5210.342392
30	5172.927387
31	5141.498904
32	5110.028914
33	5079.860571
34	5054.867906
35	5032.694708
36	5012.612583
37	4994.689555
38	4978.433902
39	4965.558705
40	4951.242763
41	4934.661962
42	4913.994607
43	4897.749296
44	4889.02839
45	4876.872045
46	4869.382526
47	4860.914328
48	4849.953535
49	4839.434777
50	4832.159281
51	4827.368819
52	4820.868277
53	4816.042621
54	4810.151787
55	4805.309651
56	4800.297136
57	4792.393292
58	4784.986148
59	4782.032621
60	4773.066142
61	4766.746188
62	4760.645155
63	4757.70368
64	4753.375826
65	4749.10114
66	4742.712257
67	4735.415763
68	4732.099097
69	4724.119781
70	4719.315581
71	4712.220545
72	4709.2152
73	4700.857629
74	4696.253064
75	4691.009626
76	4688.730694
77	4685.556763
78	4677.762691
79	4671.739609
80	4666.146477
81	4659.976194
82	4649.942258
83	4646.93831
84	4642.343591
85	4635.894223
86	4630.875457
87	4628.630609
88	4624.796192
89	4622.213564
90	4617.950624
91	4614.424278
92	4610.996785
93	4609.355451
94	4601.47714
95	4597.575834
96	4591.533975
97	4586.687097
98	4584.144913
99	4580.329399
100	4576.339794
101	4574.00285
102	4570.70329
103	4567.275001
104	4559.947158
105	4557.608769
106	4555.057788
107	4552.485743
108	4549.494482
109	4547.270301
110	4543.34801
111	4539.320854
112	4536.886376
113	4534.453571
114	4529.929579
115	4519.1397
116	4514.327665
117	4511.602653
118	4502.788492
119	4501.786773
120	4495.540507
121	4491.721503
122	4486.059946
123	4480.8536
124	4476.766358
125	4471.50359
126	4465.949282
127	4462.52167
128	4458.080156
129	4456.122473
130	4454.723676
131	4450.037818
132	4447.994265
133	4445.920796
134	4444.09433
135	4442.999199
136	4439.619099
137	4438.618209
138	4434.923343
139	4432.204011
140	4428.597168
141	4426.967763
142	4425.102977
143	4423.5296
144	4421.775672
145	4417.268468
146	4416.113245
147	4414.173883
148	4411.864156
149	4410.442053
150	4406.372952
151	4403.589429
152	4398.646734
153	4397.443239
154	4396.504401
155	4392.840433
156	4390.491677
157	4388.695283
158	4385.951535
159	4383.317598
160	4382.23075
161	4379.154427
162	4377.11958
163	4374.978221
164	4372.70733
165	4371.061283
166	4368.488124
167	4364.510423
168	4361.842239
169	4359.813026
170	4357.851084
171	4355.06872
172	4353.454011
173	4352.378468
174	4350.94562
175	4347.924913
176	4346.930963
177	4345.432388
178	4341.853019
179	4336.452826
180	4334.739378
181	4333.044791
182	4331.301363
183	4330.522787
184	4328.717381
185	4327.184975
186	4323.897762
187	4320.480506
188	4316.684791
189	4315.182143
190	4314.267135
191	4312.611576
192	4309.995884
193	4307.296665
194	4304.873776
195	4303.044606
196	4300.31139
197	4297.290519
198	4296.298917
199	4294.115345
200	4292.880049
201	4291.437143
202	4290.139732
203	4288.583009
204	4286.760959
205	4286.127346
206	4285.383305
207	4282.251497
208	4281.555692
209	4278.817635
210	4277.555755
211	4275.142686
212	4273.704714
213	4272.971691
214	4272.087146
215	4269.653114
216	4267.723685
217	4264.867263
218	4262.633813
219	4261.264729
220	4260.049219
221	4258.422255
222	4256.830647
223	4256.160517
224	4254.67877
225	4253.723524
226	4251.979624
227	4248.99864
228	4246.590508
229	4244.579204
230	4243.97029
231	4241.945832
232	4241.244785
233	4238.177003
234	4237.414765
235	4236.261736
236	4235.199908
237	4233.16114
238	4230.603672
239	4229.732201
240	4227.107322
241	4225.914111
242	4223.707536
243	4222.977185
244	4221.577747
245	4219.694425
246	4218.659261
247	4214.44655
248	4212.542218
249	4210.248258
250	4208.169751
251	4206.578229
252	4204.300859
253	4201.128284
254	4198.395505
255	4197.699055
256	4196.020997
257	4193.400689
258	4189.843735
259	4187.950511
260	4185.799994
261	4183.788682
262	4181.159521
263	4178.496651
264	4176.91168
265	4174.501532
266	4172.210696
267	4171.678169
268	4171.106358
269	4170.453353
270	4167.731516
271	4167.176617
272	4166.413928
273	4165.058975
274	4163.087418
275	4162.366839
276	4161.196017
277	4159.557279
278	4156.544937
279	4155.005285
280	4152.556191
281	4152.107937
282	4150.221234
283	4147.921036
284	4145.711517
285	4143.548177
286	4142.790362
287	4141.801386
288	4139.997745
289	4139.239956
290	4136.240205
291	4135.536741
292	4135.071795
293	4133.232652
294	4131.841124
295	4129.718053
296	4129.061628
297	4127.111762
298	4125.692675
299	4124.769349
300	4123.848905
301	4122.878701
302	4122.242054
303	4120.557702
304	4119.034643
305	4118.01968
306	4116.233315
307	4115.407576
308	4114.464239
309	4112.90291
310	4110.955023
311	4109.286842
312	4107.671045
313	4106.040512
314	4105.521971
315	4103.156618
316	4102.836327
317	4100.51923
318	4098.782334
319	4097.095124
320	4096.507721
321	4095.247092
322	4093.562605
323	4092.660189
324	4092.109223
325	4091.122558
326	4088.49025
327	4087.219848
328	4086.608309
329	4086.045634
330	4084.165271
331	4083.186696
332	4081.197642
333	4080.097186
334	4079.117106
335	4078.585399
336	4077.012869
337	4075.530586
338	4075.231407
339	4074.156808
340	4072.364501
341	4070.972034
342	4070.136185
343	4068.735307
344	4068.035779
345	4066.536431
346	4064.429768
347	4062.332183
348	4060.884087
349	4058.976496
350	4058.250024
351	4057.464575
352	4056.642316
353	4054.803897
354	4053.133009
355	4051.956838
356	4049.719737
357	4048.194962
