iter	Passed	Remaining
0	187	187274
1	214	107249
2	244	81169
3	269	67094
4	285	56719
5	300	49717
6	313	44511
7	328	40794
8	345	38087
9	361	35832
10	376	33822
11	392	32348
12	409	31056
13	428	30181
14	448	29431
15	467	28752
16	487	28166
17	505	27576
18	523	27043
19	542	26579
20	556	25964
21	571	25403
22	586	24899
23	603	24530
24	619	24164
25	636	23853
26	652	23516
27	668	23204
28	684	22914
29	700	22651
30	715	22379
31	730	22107
32	746	21870
33	762	21675
34	780	21533
35	796	21336
36	812	21152
37	829	21011
38	845	20838
39	860	20649
40	879	20576
41	895	20431
42	913	20320
43	929	20191
44	944	20050
45	961	19930
46	977	19811
47	992	19693
48	1008	19582
49	1026	19505
50	1042	19396
51	1059	19316
52	1076	19234
53	1094	19173
54	1111	19092
55	1126	18986
56	1143	18919
57	1162	18873
58	1178	18795
59	1194	18707
60	1212	18667
61	1229	18595
62	1245	18518
63	1260	18437
64	1276	18357
65	1292	18288
66	1308	18219
67	1325	18165
68	1340	18090
69	1357	18029
70	1373	17966
71	1391	17936
72	1407	17879
73	1425	17838
74	1441	17782
75	1457	17717
76	1473	17660
77	1489	17609
78	1507	17578
79	1523	17522
80	1541	17485
81	1558	17446
82	1575	17401
83	1589	17338
84	1605	17285
85	1622	17244
86	1639	17207
87	1655	17161
88	1673	17125
89	1689	17083
90	1706	17044
91	1722	17004
92	1738	16953
93	1753	16898
94	1771	16874
95	1786	16823
96	1804	16800
97	1820	16755
98	1836	16714
99	1853	16681
100	1868	16633
101	1884	16590
102	1900	16548
103	1915	16502
104	1932	16475
105	1948	16434
106	1964	16393
107	1978	16341
108	1994	16304
109	2009	16262
110	2026	16231
111	2042	16194
112	2059	16166
113	2074	16124
114	2089	16082
115	2107	16057
116	2122	16019
117	2138	15982
118	2154	15950
119	2169	15909
120	2185	15879
121	2201	15846
122	2217	15813
123	2233	15778
124	2249	15749
125	2265	15713
126	2281	15682
127	2296	15644
128	2313	15620
129	2328	15581
130	2343	15548
131	2360	15519
132	2375	15484
